"country","indicator","year","total_value"
"Denmark","CO2 emissions intensities",2010,6396.67
"Denmark","CO2 emissions intensities",2011,5331.14
"Denmark","CO2 emissions intensities",2012,4963.68
"Denmark","CO2 emissions intensities",2013,5112.29
"Denmark","CO2 emissions intensities",2014,4840.37
"Denmark","CO2 emissions intensities",2015,5833.17
"Denmark","CO2 emissions intensities",2016,5998.54
"Denmark","CO2 emissions intensities",2017,5567.24
"Denmark","CO2 emissions intensities",2018,5216.75
"Denmark","CO2 emissions multipliers",1995,18598.64
"Denmark","CO2 emissions multipliers",1996,20633.39
"Denmark","CO2 emissions multipliers",1997,19840.46
"Denmark","CO2 emissions multipliers",1998,19519.46
"Denmark","CO2 emissions multipliers",1999,19083.2
"Denmark","CO2 emissions multipliers",2000,19340.94
"Denmark","CO2 emissions multipliers",2001,19845.71
"Denmark","CO2 emissions multipliers",2002,18116.32
"Denmark","CO2 emissions multipliers",2003,16476.59
"Denmark","CO2 emissions multipliers",2004,13708.81
"Denmark","CO2 emissions multipliers",2005,11959.4
"Denmark","CO2 emissions multipliers",2006,12018.17
"Denmark","CO2 emissions multipliers",2007,10411.15
"Denmark","CO2 emissions multipliers",2008,8333.08
"Denmark","CO2 emissions multipliers",2009,9322.79
"Denmark","CO2 emissions multipliers",2010,8902.66
"Denmark","CO2 emissions multipliers",2011,7385.16
"Denmark","CO2 emissions multipliers",2012,6800.17
"Denmark","CO2 emissions multipliers",2013,6858.46
"Denmark","CO2 emissions multipliers",2014,6458.09
"Denmark","CO2 emissions multipliers",2015,7500.41
"Denmark","CO2 emissions multipliers",2016,7625.04
"Denmark","CO2 emissions multipliers",2017,7364.85
"Denmark","CO2 emissions multipliers",2018,6882.72
"Estonia","CO2 emissions",1995,15.65
"Estonia","CO2 emissions",1996,16.4
"Estonia","CO2 emissions",1997,16.06
"Estonia","CO2 emissions",1998,15.68
"Estonia","CO2 emissions",1999,14.74
"Estonia","CO2 emissions",2000,14.2
"Estonia","CO2 emissions",2001,14.58
"Estonia","CO2 emissions",2002,14.11
"Estonia","CO2 emissions",2003,16.11
"Estonia","CO2 emissions",2004,16.23
"Estonia","CO2 emissions",2005,16.34
"Estonia","CO2 emissions",2006,15.27
"Estonia","CO2 emissions",2007,19.18
"Estonia","CO2 emissions",2008,17.68
"Estonia","CO2 emissions",2009,14.65
"Estonia","CO2 emissions",2010,18.35
"Estonia","CO2 emissions",2011,17.41
"Estonia","CO2 emissions",2012,16.13
"Estonia","CO2 emissions",2013,18.66
"Estonia","CO2 emissions",2014,17.14
"Estonia","CO2 emissions",2015,14.94
"Estonia","CO2 emissions",2016,15.16
"Estonia","CO2 emissions",2017,15.8
"Estonia","CO2 emissions",2018,14.38
"Estonia","CO2 emissions intensities",1995,67774.44
"Estonia","CO2 emissions intensities",1996,57424.65
"Estonia","CO2 emissions intensities",1997,56447.14
"Estonia","CO2 emissions intensities",1998,54801.05
"Estonia","CO2 emissions intensities",1999,47816.44
"Estonia","CO2 emissions intensities",2000,42736.38
"Estonia","CO2 emissions intensities",2001,41086.5
"Estonia","CO2 emissions intensities",2002,35041.92
"Estonia","CO2 emissions intensities",2003,30679.44
"Estonia","CO2 emissions intensities",2004,26955.23
"Estonia","CO2 emissions intensities",2005,25161.33
"Estonia","CO2 emissions intensities",2006,19144.32
"Estonia","CO2 emissions intensities",2007,19059.41
"Estonia","CO2 emissions intensities",2008,14911.75
"Estonia","CO2 emissions intensities",2009,14032.34
"Estonia","CO2 emissions intensities",2010,14047.93
"Estonia","CO2 emissions intensities",2011,12388.75
"Estonia","CO2 emissions intensities",2012,11522.81
"Estonia","CO2 emissions intensities",2013,12030.93
"Estonia","CO2 emissions intensities",2014,11164.69
"Estonia","CO2 emissions intensities",2015,13377.79
"Estonia","CO2 emissions intensities",2016,12924.71
"Estonia","CO2 emissions intensities",2017,11124.4
"Estonia","CO2 emissions intensities",2018,9137.18
"Estonia","CO2 emissions multipliers",1995,151344.38
"Estonia","CO2 emissions multipliers",1996,128367.54
"Estonia","CO2 emissions multipliers",1997,120240.39
"Estonia","CO2 emissions multipliers",1998,113110.25
"Estonia","CO2 emissions multipliers",1999,103007.54
"Estonia","CO2 emissions multipliers",2000,102735.06
"Estonia","CO2 emissions multipliers",2001,94271.79
"Estonia","CO2 emissions multipliers",2002,77066.88
"Estonia","CO2 emissions multipliers",2003,66041.08
"Estonia","CO2 emissions multipliers",2004,54456.27
"Estonia","CO2 emissions multipliers",2005,48056.47
"Estonia","CO2 emissions multipliers",2006,37116.56
"Estonia","CO2 emissions multipliers",2007,36374.28
"Estonia","CO2 emissions multipliers",2008,30074.44
"Estonia","CO2 emissions multipliers",2009,28867.23
"Estonia","CO2 emissions multipliers",2010,31421.17
"Estonia","CO2 emissions multipliers",2011,25825.85
"Estonia","CO2 emissions multipliers",2012,24586.39
"Estonia","CO2 emissions multipliers",2013,25774.85
"Estonia","CO2 emissions multipliers",2014,23402.23
"Estonia","CO2 emissions multipliers",2015,26562.71
"Estonia","CO2 emissions multipliers",2016,26373.04
"Estonia","CO2 emissions multipliers",2017,23543.74
"Estonia","CO2 emissions multipliers",2018,18494.79
"Finland","CO2 emissions",1995,47.21
"Finland","CO2 emissions",1996,55.42
"Finland","CO2 emissions",1997,53.56
"Finland","CO2 emissions",1998,50.33
"Finland","CO2 emissions",1999,49.63
"Finland","CO2 emissions",2000,50.76
"Finland","CO2 emissions",2001,56.12
"Finland","CO2 emissions",2002,58.67
"Finland","CO2 emissions",2003,67.11
"Finland","CO2 emissions",2004,62.93
"Finland","CO2 emissions",2005,51.71
"Finland","CO2 emissions",2006,63.76
"Finland","CO2 emissions",2007,62.3
"Finland","CO2 emissions",2008,54.27
"Finland","CO2 emissions",2009,51.06
"Finland","CO2 emissions",2010,59.31
"Finland","CO2 emissions",2011,53.02
"Finland","CO2 emissions",2012,46.78
"Finland","CO2 emissions",2013,48.43
"Finland","CO2 emissions",2014,44.95
"Finland","CO2 emissions",2015,41.32
"Finland","CO2 emissions",2016,43.71
"Finland","CO2 emissions",2017,41.6
"Finland","CO2 emissions",2018,43.42
"Finland","CO2 emissions intensities",1995,13763.72
"Finland","CO2 emissions intensities",1996,14526.7
"Finland","CO2 emissions intensities",1997,14882.57
"Finland","CO2 emissions intensities",1998,14666.62
"Finland","CO2 emissions intensities",1999,15843.54
"Finland","CO2 emissions intensities",2000,17892.17
"Finland","CO2 emissions intensities",2001,19061.51
"Finland","CO2 emissions intensities",2002,17527.35
"Finland","CO2 emissions intensities",2003,15706.95
"Finland","CO2 emissions intensities",2004,12904.07
"Finland","CO2 emissions intensities",2005,10863.24
"Finland","CO2 emissions intensities",2006,11231.67
"Finland","CO2 emissions intensities",2007,10076.09
"Finland","CO2 emissions intensities",2008,7951.77
"Finland","CO2 emissions intensities",2009,8745.33
"Finland","CO2 emissions intensities",2010,8705.13
"Finland","CO2 emissions intensities",2011,7412.02
"Finland","CO2 emissions intensities",2012,7187.36
"Finland","CO2 emissions intensities",2013,7240.69
"Finland","CO2 emissions intensities",2014,6987.52
"Finland","CO2 emissions intensities",2015,7845.15
"Finland","CO2 emissions intensities",2016,7534.55
"Finland","CO2 emissions intensities",2017,6606.62
"Finland","CO2 emissions intensities",2018,6312.1
"Finland","CO2 emissions multipliers",1995,22161.71
"Finland","CO2 emissions multipliers",1996,24365.4
"Finland","CO2 emissions multipliers",1997,24464.18
"Finland","CO2 emissions multipliers",1998,23561.18
"Finland","CO2 emissions multipliers",1999,24920.54
"Finland","CO2 emissions multipliers",2000,27235.27
"Finland","CO2 emissions multipliers",2001,29424.66
"Finland","CO2 emissions multipliers",2002,27697.33
"Finland","CO2 emissions multipliers",2003,25141.29
"Finland","CO2 emissions multipliers",2004,20260.66
"Finland","CO2 emissions multipliers",2005,16578.4
"Finland","CO2 emissions multipliers",2006,17748.63
"Finland","CO2 emissions multipliers",2007,15383.33
"Finland","CO2 emissions multipliers",2008,11971.88
"Finland","CO2 emissions multipliers",2009,13410.9
"Finland","CO2 emissions multipliers",2010,14161.73
"Finland","CO2 emissions multipliers",2011,11616.88
"Finland","CO2 emissions multipliers",2012,11244.76
"Finland","CO2 emissions multipliers",2013,11299.81
"Finland","CO2 emissions multipliers",2014,10657.5
"Finland","CO2 emissions multipliers",2015,11593.32
"Finland","CO2 emissions multipliers",2016,11314.8
"Finland","CO2 emissions multipliers",2017,9875.89
"Finland","CO2 emissions multipliers",2018,9472.83
"France","CO2 emissions",1995,255.03
"France","CO2 emissions",1996,268.5
"France","CO2 emissions",1997,264.24
"France","CO2 emissions",1998,279.7
"France","CO2 emissions",1999,271.53
"France","CO2 emissions",2000,268.87
"France","CO2 emissions",2001,261.61
"France","CO2 emissions",2002,258.91
"France","CO2 emissions",2003,263.01
"France","CO2 emissions",2004,261.93
"France","CO2 emissions",2005,267.11
"France","CO2 emissions",2006,262.95
"France","CO2 emissions",2007,264.56
"France","CO2 emissions",2008,248.32
"France","CO2 emissions",2009,234.75
"France","CO2 emissions",2010,240.98
"France","CO2 emissions",2011,238.51
"France","CO2 emissions",2012,239.61
"France","CO2 emissions",2013,238.98
"France","CO2 emissions",2014,217.14
"France","CO2 emissions",2015,211.58
"France","CO2 emissions",2016,210.99
"France","CO2 emissions",2017,220.06
"France","CO2 emissions",2018,215.08
"France","CO2 emissions intensities",1995,11803.78
"France","CO2 emissions intensities",1996,12349.99
"France","CO2 emissions intensities",1997,12969.15
"France","CO2 emissions intensities",1998,13471.23
"France","CO2 emissions intensities",1999,13043.62
"France","CO2 emissions intensities",2000,12829.85
"France","CO2 emissions intensities",2001,11163.95
"France","CO2 emissions intensities",2002,10051.49
"France","CO2 emissions intensities",2003,8441.92
"France","CO2 emissions intensities",2004,7171.35
"France","CO2 emissions intensities",2005,6831.45
"France","CO2 emissions intensities",2006,6276.35
"France","CO2 emissions intensities",2007,5563.03
"France","CO2 emissions intensities",2008,5714.29
"France","CO2 emissions intensities",2009,7487.82
"France","CO2 emissions intensities",2010,7215.36
"France","CO2 emissions intensities",2011,5892.43
"France","CO2 emissions intensities",2012,6284.67
"France","CO2 emissions intensities",2013,6394.49
"France","CO2 emissions intensities",2014,7524.55
"France","CO2 emissions intensities",2015,10493.28
"France","CO2 emissions intensities",2016,11719.77
"France","CO2 emissions intensities",2017,10363.49
"France","CO2 emissions intensities",2018,9901.96
"France","CO2 emissions multipliers",1995,15566.34
"France","CO2 emissions multipliers",1996,16220.94
"France","CO2 emissions multipliers",1997,17115.1
"France","CO2 emissions multipliers",1998,17629.85
"France","CO2 emissions multipliers",1999,17482.07
"France","CO2 emissions multipliers",2000,17438.66
"France","CO2 emissions multipliers",2001,15595.25
"France","CO2 emissions multipliers",2002,14062.27
"France","CO2 emissions multipliers",2003,11751.63
"France","CO2 emissions multipliers",2004,9982.52
"France","CO2 emissions multipliers",2005,9612.66
"France","CO2 emissions multipliers",2006,8884.96
"France","CO2 emissions multipliers",2007,7882.19
"France","CO2 emissions multipliers",2008,7619.26
"France","CO2 emissions multipliers",2009,9502.43
"France","CO2 emissions multipliers",2010,9366.7
"France","CO2 emissions multipliers",2011,7736.48
"France","CO2 emissions multipliers",2012,8249.29
"France","CO2 emissions multipliers",2013,8221.94
"France","CO2 emissions multipliers",2014,9098.31
"France","CO2 emissions multipliers",2015,12292.74
"France","CO2 emissions multipliers",2016,13551.13
"France","CO2 emissions multipliers",2017,12226.97
"France","CO2 emissions multipliers",2018,11540.11
"Germany","CO2 emissions",1995,644.84
"Germany","CO2 emissions",1996,700.53
"Germany","CO2 emissions",1997,632.62
"Germany","CO2 emissions",1998,632.58
"Germany","CO2 emissions",1999,612.22
"Germany","CO2 emissions",2000,619.66
"Germany","CO2 emissions",2001,630.73
"Germany","CO2 emissions",2002,622.66
"Germany","CO2 emissions",2003,634.37
"Germany","CO2 emissions",2004,630.48
"Germany","CO2 emissions",2005,618.78
"Germany","CO2 emissions",2006,635.49
"Germany","CO2 emissions",2007,639.49
"Germany","CO2 emissions",2008,635.49
"Germany","CO2 emissions",2009,570.36
"Germany","CO2 emissions",2010,617.69
"Germany","CO2 emissions",2011,603.18
"Germany","CO2 emissions",2012,604.72
"Germany","CO2 emissions",2013,613.8
"Germany","CO2 emissions",2014,590.5
"Germany","CO2 emissions",2015,605.28
"Germany","CO2 emissions",2016,603.05
"Germany","CO2 emissions",2017,574.47
"Germany","CO2 emissions",2018,554.92
"Germany","CO2 emissions intensities",1995,12220.72
"Germany","CO2 emissions intensities",1996,15926.87
"Germany","CO2 emissions intensities",1997,14708.15
"Germany","CO2 emissions intensities",1998,14859.74
"Germany","CO2 emissions intensities",1999,15279.16
"Germany","CO2 emissions intensities",2000,16787.07
"Germany","CO2 emissions intensities",2001,17163.79
"Germany","CO2 emissions intensities",2002,15666.34
"Germany","CO2 emissions intensities",2003,11130.59
"Germany","CO2 emissions intensities",2004,9501.96
"Germany","CO2 emissions intensities",2005,8466.37
"Germany","CO2 emissions intensities",2006,7731.62
"Germany","CO2 emissions intensities",2007,6690.45
"Germany","CO2 emissions intensities",2008,5939.33
"Germany","CO2 emissions intensities",2009,6004.78
"Germany","CO2 emissions intensities",2010,6454.95
"Germany","CO2 emissions intensities",2011,5755.35
"Germany","CO2 emissions intensities",2012,5977.4
"Germany","CO2 emissions intensities",2013,6001.6
"Germany","CO2 emissions intensities",2014,6056.47
"Germany","CO2 emissions intensities",2015,7709.73
"Germany","CO2 emissions intensities",2016,7703.41
"Germany","CO2 emissions intensities",2017,6808.39
"Germany","CO2 emissions intensities",2018,6040.89
"Germany","CO2 emissions multipliers",1995,18673.61
"Germany","CO2 emissions multipliers",1996,23474.79
"Germany","CO2 emissions multipliers",1997,21965.86
"Germany","CO2 emissions multipliers",1998,22111.17
"Germany","CO2 emissions multipliers",1999,22344.37
"Germany","CO2 emissions multipliers",2000,24710.22
"Germany","CO2 emissions multipliers",2001,25350.13
"Germany","CO2 emissions multipliers",2002,23692.16
"Germany","CO2 emissions multipliers",2003,17719.36
"Germany","CO2 emissions multipliers",2004,15377.59
"Germany","CO2 emissions multipliers",2005,13791.28
"Germany","CO2 emissions multipliers",2006,12704.66
"Germany","CO2 emissions multipliers",2007,11146.0
"Germany","CO2 emissions multipliers",2008,9776.61
"Germany","CO2 emissions multipliers",2009,10061.87
"Germany","CO2 emissions multipliers",2010,10731.4
"Germany","CO2 emissions multipliers",2011,9445.13
"Germany","CO2 emissions multipliers",2012,9849.45
"Germany","CO2 emissions multipliers",2013,9687.52
"Germany","CO2 emissions multipliers",2014,9555.11
"Germany","CO2 emissions multipliers",2015,11785.95
"Germany","CO2 emissions multipliers",2016,11680.78
"Germany","CO2 emissions multipliers",2017,10411.5
"Germany","CO2 emissions multipliers",2018,9146.33
"Greece","CO2 emissions",1995,71.83
"Greece","CO2 emissions",1996,69.81
"Greece","CO2 emissions",1997,71.08
"Greece","CO2 emissions",1998,74.16
"Greece","CO2 emissions",1999,84.17
"Greece","CO2 emissions",2000,97.21
"Greece","CO2 emissions",2001,90.49
"Greece","CO2 emissions",2002,89.54
"Greece","CO2 emissions",2003,92.39
"Greece","CO2 emissions",2004,82.25
"Greece","CO2 emissions",2005,95.61
"Greece","CO2 emissions",2006,89.58
"Greece","CO2 emissions",2007,102.67
"Greece","CO2 emissions",2008,93.67
"Greece","CO2 emissions",2009,83.08
"Greece","CO2 emissions",2010,76.48
"Greece","CO2 emissions",2011,74.23
"Greece","CO2 emissions",2012,72.82
"Greece","CO2 emissions",2013,65.84
"Greece","CO2 emissions",2014,63.63
"Greece","CO2 emissions",2015,64.59
"Greece","CO2 emissions",2016,62.88
"Greece","CO2 emissions",2017,69.23
"Greece","CO2 emissions",2018,69.56
"Greece","CO2 emissions intensities",1995,21591.8
"Greece","CO2 emissions intensities",1996,19748.71
"Greece","CO2 emissions intensities",1997,21075.21
"Greece","CO2 emissions intensities",1998,21598.04
"Greece","CO2 emissions intensities",1999,21521.37
"Greece","CO2 emissions intensities",2000,26300.94
"Greece","CO2 emissions intensities",2001,25417.89
"Greece","CO2 emissions intensities",2002,20447.49
"Greece","CO2 emissions intensities",2003,15865.29
"Greece","CO2 emissions intensities",2004,13188.85
"Greece","CO2 emissions intensities",2005,12844.38
"Greece","CO2 emissions intensities",2006,10831.87
"Greece","CO2 emissions intensities",2007,10389.12
"Greece","CO2 emissions intensities",2008,8880.48
"Greece","CO2 emissions intensities",2009,8648.9
"Greece","CO2 emissions intensities",2010,8591.45
"Greece","CO2 emissions intensities",2011,7848.24
"Greece","CO2 emissions intensities",2012,8006.06
"Greece","CO2 emissions intensities",2013,7201.62
"Greece","CO2 emissions intensities",2014,7141.42
"Greece","CO2 emissions intensities",2015,9242.87
"Greece","CO2 emissions intensities",2016,9274.21
"Greece","CO2 emissions intensities",2017,8921.65
"Greece","CO2 emissions intensities",2018,8747.9
"Greece","CO2 emissions multipliers",1995,36571.06
"Greece","CO2 emissions multipliers",1996,33307.88
"Greece","CO2 emissions multipliers",1997,34835.31
"Greece","CO2 emissions multipliers",1998,35442.8
"Greece","CO2 emissions multipliers",1999,34511.14
"Greece","CO2 emissions multipliers",2000,43264.82
"Greece","CO2 emissions multipliers",2001,43022.74
"Greece","CO2 emissions multipliers",2002,37677.14
"Greece","CO2 emissions multipliers",2003,29485.19
"Greece","CO2 emissions multipliers",2004,23940.34
"Greece","CO2 emissions multipliers",2005,24018.29
"Greece","CO2 emissions multipliers",2006,20696.84
"Greece","CO2 emissions multipliers",2007,19669.91
"Greece","CO2 emissions multipliers",2008,16475.94
"Greece","CO2 emissions multipliers",2009,15355.16
"Greece","CO2 emissions multipliers",2010,15419.93
"Greece","CO2 emissions multipliers",2011,14970.41
"Greece","CO2 emissions multipliers",2012,16639.64
"Greece","CO2 emissions multipliers",2013,15823.45
"Greece","CO2 emissions multipliers",2014,14847.97
"Greece","CO2 emissions multipliers",2015,17470.09
"Greece","CO2 emissions multipliers",2016,16981.33
"Greece","CO2 emissions multipliers",2017,16346.77
"Greece","CO2 emissions multipliers",2018,15605.17
"Hungary","CO2 emissions",1995,44.12
"Hungary","CO2 emissions",1996,46.13
"Hungary","CO2 emissions",1997,44.4
"Hungary","CO2 emissions",1998,45.14
"Hungary","CO2 emissions",1999,44.97
"Hungary","CO2 emissions",2000,42.02
"Hungary","CO2 emissions",2001,42.82
"Hungary","CO2 emissions",2002,40.81
"Hungary","CO2 emissions",2003,42.16
"Hungary","CO2 emissions",2004,41.14
"Hungary","CO2 emissions",2005,39.46
"Hungary","CO2 emissions",2006,39.28
"Hungary","CO2 emissions",2007,38.79
"Hungary","CO2 emissions",2008,37.84
"Hungary","CO2 emissions",2009,32.94
"Hungary","CO2 emissions",2010,33.9
"Hungary","CO2 emissions",2011,34.02
"Hungary","CO2 emissions",2012,31.5
"Hungary","CO2 emissions",2013,29.93
"Hungary","CO2 emissions",2014,29.98
"Hungary","CO2 emissions",2015,31.68
"Hungary","CO2 emissions",2016,32.3
"Hungary","CO2 emissions",2017,34.17
"Hungary","CO2 emissions",2018,34.66
"Hungary","CO2 emissions intensities",1995,29866.9
"Hungary","CO2 emissions intensities",1996,29964.61
"Hungary","CO2 emissions intensities",1997,28693.84
"Hungary","CO2 emissions intensities",1998,30246.38
"Hungary","CO2 emissions intensities",1999,32102.04
"Hungary","CO2 emissions intensities",2000,32365.3
"Hungary","CO2 emissions intensities",2001,31243.54
"Hungary","CO2 emissions intensities",2002,22883.72
"Hungary","CO2 emissions intensities",2003,19305.12
"Hungary","CO2 emissions intensities",2004,14844.03
"Hungary","CO2 emissions intensities",2005,12855.99
"Hungary","CO2 emissions intensities",2006,12324.8
"Hungary","CO2 emissions intensities",2007,9283.89
"Hungary","CO2 emissions intensities",2008,8469.55
"Hungary","CO2 emissions intensities",2009,12244.18
"Hungary","CO2 emissions intensities",2010,9544.37
"Hungary","CO2 emissions intensities",2011,8452.65
"Hungary","CO2 emissions intensities",2012,8940.07
"Hungary","CO2 emissions intensities",2013,9045.72
"Hungary","CO2 emissions intensities",2014,11420.71
"Hungary","CO2 emissions intensities",2015,17304.04
"Hungary","CO2 emissions intensities",2016,21814.82
"Hungary","CO2 emissions intensities",2017,18075.4
"Hungary","CO2 emissions intensities",2018,12382.02
"Hungary","CO2 emissions multipliers",1995,54732.65
"Hungary","CO2 emissions multipliers",1996,54686.58
"Hungary","CO2 emissions multipliers",1997,50469.49
"Hungary","CO2 emissions multipliers",1998,50338.89
"Hungary","CO2 emissions multipliers",1999,52029.17
"Hungary","CO2 emissions multipliers",2000,49857.81
"Hungary","CO2 emissions multipliers",2001,47144.19
"Hungary","CO2 emissions multipliers",2002,35404.44
"Hungary","CO2 emissions multipliers",2003,29586.61
"Hungary","CO2 emissions multipliers",2004,22299.75
"Hungary","CO2 emissions multipliers",2005,19243.9
"Hungary","CO2 emissions multipliers",2006,17788.2
"Hungary","CO2 emissions multipliers",2007,13802.47
"Hungary","CO2 emissions multipliers",2008,12571.22
"Hungary","CO2 emissions multipliers",2009,16831.55
"Hungary","CO2 emissions multipliers",2010,13725.58
"Hungary","CO2 emissions multipliers",2011,12026.34
"Hungary","CO2 emissions multipliers",2012,12600.9
"Hungary","CO2 emissions multipliers",2013,12283.69
"Hungary","CO2 emissions multipliers",2014,14631.03
"Hungary","CO2 emissions multipliers",2015,21235.0
"Hungary","CO2 emissions multipliers",2016,25779.08
"Hungary","CO2 emissions multipliers",2017,21596.73
"Hungary","CO2 emissions multipliers",2018,15559.83
"Iceland","CO2 emissions",1995,2.9
"Iceland","CO2 emissions",1996,3.21
"Iceland","CO2 emissions",1997,3.12
"Iceland","CO2 emissions",1998,3.27
"Iceland","CO2 emissions",1999,3.37
"Iceland","CO2 emissions",2000,3.26
"Iceland","CO2 emissions",2001,3.0
"Iceland","CO2 emissions",2002,3.18
"Iceland","CO2 emissions",2003,3.29
"Iceland","CO2 emissions",2004,3.42
"Iceland","CO2 emissions",2005,3.6
"Iceland","CO2 emissions",2006,3.81
"Iceland","CO2 emissions",2007,3.82
"Iceland","CO2 emissions",2008,3.28
"Iceland","CO2 emissions",2009,3.1
"Iceland","CO2 emissions",2010,2.82
"Iceland","CO2 emissions",2011,2.73
"Iceland","CO2 emissions",2012,2.68
"Iceland","CO2 emissions",2013,2.91
"Iceland","CO2 emissions",2014,3.08
"Iceland","CO2 emissions",2015,3.52
"Iceland","CO2 emissions",2016,3.57
"Iceland","CO2 emissions",2017,3.96
"Iceland","CO2 emissions",2018,4.17
"Iceland","CO2 emissions intensities",1995,8181.42
"Iceland","CO2 emissions intensities",1996,7969.53
"Iceland","CO2 emissions intensities",1997,7387.67
"Iceland","CO2 emissions intensities",1998,7451.58
"Iceland","CO2 emissions intensities",1999,7693.35
"Iceland","CO2 emissions intensities",2000,6741.13
"Iceland","CO2 emissions intensities",2001,6525.06
"Iceland","CO2 emissions intensities",2002,6518.64
"Iceland","CO2 emissions intensities",2003,5815.28
"Iceland","CO2 emissions intensities",2004,5068.57
"Iceland","CO2 emissions intensities",2005,4602.83
"Iceland","CO2 emissions intensities",2006,254700.99
"Iceland","CO2 emissions intensities",2007,3953.69
"Iceland","CO2 emissions intensities",2008,3587.22
"Iceland","CO2 emissions intensities",2009,4534.67
"Iceland","CO2 emissions intensities",2010,3767.18
"Iceland","CO2 emissions intensities",2011,3094.16
"Iceland","CO2 emissions intensities",2012,2765.3
"Iceland","CO2 emissions intensities",2013,2835.37
"Iceland","CO2 emissions intensities",2014,2842.11
"Iceland","CO2 emissions intensities",2015,56884.33
"Iceland","CO2 emissions intensities",2016,3464.75
"Iceland","CO2 emissions intensities",2017,2941.01
"Iceland","CO2 emissions intensities",2018,2961.39
"Iceland","CO2 emissions multipliers",1995,12972.71
"Iceland","CO2 emissions multipliers",1996,13095.2
"Iceland","CO2 emissions multipliers",1997,11714.94
"Iceland","CO2 emissions multipliers",1998,11592.85
"Iceland","CO2 emissions multipliers",1999,11781.74
"Iceland","CO2 emissions multipliers",2000,10780.14
"Iceland","CO2 emissions multipliers",2001,9804.24
"Iceland","CO2 emissions multipliers",2002,10019.61
"Iceland","CO2 emissions multipliers",2003,8532.24
"Iceland","CO2 emissions multipliers",2004,7546.07
"Iceland","CO2 emissions multipliers",2005,6775.88
"Iceland","CO2 emissions multipliers",2006,257918.25
"Iceland","CO2 emissions multipliers",2007,6124.87
"Iceland","CO2 emissions multipliers",2008,5443.2
"Iceland","CO2 emissions multipliers",2009,6454.96
"Iceland","CO2 emissions multipliers",2010,5252.3
"Iceland","CO2 emissions multipliers",2011,4298.23
"Iceland","CO2 emissions multipliers",2012,3906.59
"Iceland","CO2 emissions multipliers",2013,3997.15
"Iceland","CO2 emissions multipliers",2014,3943.15
"Iceland","CO2 emissions multipliers",2015,58334.89
"Iceland","CO2 emissions multipliers",2016,4715.35
"Iceland","CO2 emissions multipliers",2017,4076.13
"Iceland","CO2 emissions multipliers",2018,4109.15
"India","CO2 emissions",1995,627.69
"India","CO2 emissions",1996,657.04
"India","CO2 emissions",1997,693.19
"India","CO2 emissions",1998,703.58
"India","CO2 emissions",1999,763.74
"India","CO2 emissions",2000,799.9
"India","CO2 emissions",2001,816.94
"India","CO2 emissions",2002,843.98
"India","CO2 emissions",2003,866.47
"India","CO2 emissions",2004,933.0
"India","CO2 emissions",2005,978.5
"India","CO2 emissions",2006,1052.84
"India","CO2 emissions",2007,1166.65
"India","CO2 emissions",2008,1243.18
"India","CO2 emissions",2009,1369.25
"India","CO2 emissions",2010,1457.1
"India","CO2 emissions",2011,1546.35
"India","CO2 emissions",2012,1663.77
"India","CO2 emissions",2013,1734.73
"India","CO2 emissions",2014,1898.81
"India","CO2 emissions",2015,1891.22
"India","CO2 emissions",2016,1916.75
"India","CO2 emissions",2017,2044.15
"India","CO2 emissions",2018,2151.12
"India","CO2 emissions intensities",1995,52349.08
"India","CO2 emissions intensities",1996,51390.53
"India","CO2 emissions intensities",1997,49284.67
"India","CO2 emissions intensities",1998,51319.28
"India","CO2 emissions intensities",1999,48263.66
"India","CO2 emissions intensities",2000,45858.54
"India","CO2 emissions intensities",2001,46176.22
"India","CO2 emissions intensities",2002,43498.3
"India","CO2 emissions intensities",2003,37096.79
"India","CO2 emissions intensities",2004,31040.74
"India","CO2 emissions intensities",2005,28913.86
"India","CO2 emissions intensities",2006,26723.79
"India","CO2 emissions intensities",2007,24371.62
"India","CO2 emissions intensities",2008,23437.7
"India","CO2 emissions intensities",2009,25595.37
"India","CO2 emissions intensities",2010,21614.62
"India","CO2 emissions intensities",2011,19769.26
"India","CO2 emissions intensities",2012,19835.7
"India","CO2 emissions intensities",2013,20744.98
"India","CO2 emissions intensities",2014,20469.35
"India","CO2 emissions intensities",2015,21150.51
"India","CO2 emissions intensities",2016,21059.22
"India","CO2 emissions intensities",2017,20313.08
"India","CO2 emissions intensities",2018,19648.1
"India","CO2 emissions multipliers",1995,106048.18
"India","CO2 emissions multipliers",1996,104101.08
"India","CO2 emissions multipliers",1997,101588.44
"India","CO2 emissions multipliers",1998,103309.07
"India","CO2 emissions multipliers",1999,101743.46
"India","CO2 emissions multipliers",2000,99872.2
"India","CO2 emissions multipliers",2001,100529.93
"India","CO2 emissions multipliers",2002,95495.05
"India","CO2 emissions multipliers",2003,82300.13
"India","CO2 emissions multipliers",2004,71886.85
"India","CO2 emissions multipliers",2005,63815.79
"India","CO2 emissions multipliers",2006,58615.3
"India","CO2 emissions multipliers",2007,52507.63
"India","CO2 emissions multipliers",2008,50071.48
"India","CO2 emissions multipliers",2009,55609.9
"India","CO2 emissions multipliers",2010,46412.38
"India","CO2 emissions multipliers",2011,43061.53
"India","CO2 emissions multipliers",2012,44872.85
"India","CO2 emissions multipliers",2013,44485.72
"India","CO2 emissions multipliers",2014,45902.94
"India","CO2 emissions multipliers",2015,47837.19
